id;created_at (Europe/Moscow);source;api_type;model_name;provider_name;input_tokens;output_tokens
f094505b-afe5-4dee-a224-d9adfc360f18;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2069;917
9b447a36-ee93-4b40-ace4-f6d74fca9fbc;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;6303;384
9c1d4b01-20d6-4b38-961d-c4f228630f29;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1858;322
088c1598-908f-40e3-b656-a7661bacf41b;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1120;3254
6bf106b0-15e5-4b66-8878-83285bc827f7;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;778;107
9abcecc7-28ba-46ed-bbe0-22f48bcd8681;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;4257;94
32f61249-07c6-4cc1-8f54-f0315dd32419;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3990;242
58a2fb49-4081-4050-84ef-1e5c6b08832f;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3440;101
b4238626-0531-4e6c-a8bb-16278d120498;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1657;662
56463972-7f8d-4a61-8f10-136122af38a7;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1387;1057
ae4881c3-5b0b-4542-994a-3c61c84233d3;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;4216;100
3461f03e-66d4-48ce-ba39-2a4337eaeac4;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2888;98
484e8d37-1ebe-4a2b-a931-c8b1f82ca0da;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1215;2658
2e34f551-383b-4c04-83c2-e3f589df4566;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1788;110
08d4269e-0229-4b02-b9ba-8d1e0a9e1eba;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2583;116
9febcab3-c5e0-48fd-bf11-c58b61e8d8fa;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3342;231
c6bfce52-0551-4c7f-8ab2-471b13e29569;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2993;387
b39c45f9-2a08-4692-a8d6-c7e077622fa3;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;780;165
6f6462ed-ea65-4f57-9627-82249dc8504a;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1494;1035
80d91b87-d658-430c-a55b-bedc85efba16;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1383;195
2edb8ff6-4f72-4307-a362-c6af88169d6f;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2015;96
f4edc6ec-6825-4a35-88b7-8bac6566d384;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2271;126
5af7af63-9a71-4502-892b-c2a7f4fc081d;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1381;212
b5e1c8ad-ba46-4cda-9474-2a570ffca5ea;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1517;92
17228dbc-12ba-46f1-b1e2-481805eb1c27;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1388;189
00a23fef-4e2d-412f-b16e-0f7259684329;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1456;1207
bb5c302f-93be-4c0f-b229-67084cd4965d;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;4453;432
b1aaeafc-3c83-4fbd-b639-fb9acd8dd8b9;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;750;100
4a28317c-6af6-41c9-bb00-7153ddaefea8;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1356;95
1a0803a1-a007-4910-8a41-42b2f3be477f;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;5842;173
a60d2344-cd93-400c-ba55-173bc883ced5;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3989;223
23eecd6c-e688-4cbe-afae-6c17f1d10a50;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3684;612
e62c78b1-35d0-45bc-b052-ebf47e907f9a;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3161;106
9308bb8a-d17f-4d0a-bfba-6b1276791c85;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2835;340
42888809-e6ca-45b9-8600-131aa8e08314;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;773;104
bd01a7bc-af84-4bf6-8ab8-dc7bd5123dc9;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1377;240
8d800a0a-8426-404f-9c96-8c5628d5f269;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2126;102
4f40db15-06c2-4a2c-a10f-6162279ac10d;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1379;304
f0c41502-0bfd-49b4-b329-71253a5d09e0;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1436;94
a72f02d5-a206-4815-b227-c4c854bbe9ee;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;4545;186
2270592c-ca0f-443d-8e88-7300986aec71;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1378;377
03948bb3-0f8d-4feb-ad3b-586e5f9fd48a;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;4867;91
e43ab689-7c86-4be5-86b6-0d5192d233b4;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;752;98
17498f0c-61ff-4688-b251-5375d9a463a8;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3990;223
a994285a-c2d2-46e0-9297-1eb8d15bb011;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2958;171
381aa446-ca69-4f3d-8783-3ba2937c4ff4;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1419;758
1b3bfa24-825f-4a22-b072-461e612a3c3c;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;4204;117
40450106-5f1a-4082-80b4-aacf6ebb6c56;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3243;94
e66b435f-e58f-497b-b072-a1b0ebe0ffbb;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1226;1830
